"ENSEMBL","GENETYPE","SYMBOL","ENTREZID"
"ENSG00000183020","protein-coding","AP2A2","161"
"ENSG00000281385","protein-coding","AP2A2","161"
"ENSG00000280759","protein-coding","AP2A2","161"
"ENSG00000100280","protein-coding","AP1B1","162"
"ENSG00000006125","protein-coding","AP2B1","163"
"ENSG00000166747","protein-coding","AP1G1","164"
"ENSG00000106624","protein-coding","AEBP1","165"
"ENSG00000104964","protein-coding","TLE5","166"
"ENSG00000124812","protein-coding","CRISP1","167"
"ENSG00000293510","pseudo","AFG3L1P","172"
"ENSG00000079557","protein-coding","AFM","173"
"ENSG00000081051","protein-coding","AFP","174"
"ENSG00000038002","protein-coding","AGA","175"
"ENSG00000157766","protein-coding","ACAN","176"
"ENSG00000204305","protein-coding","AGER","177"
"ENSG00000231268","protein-coding","AGER","177"
"ENSG00000229058","protein-coding","AGER","177"
"ENSG00000237405","protein-coding","AGER","177"
"ENSG00000234729","protein-coding","AGER","177"
"ENSG00000206320","protein-coding","AGER","177"
"ENSG00000230514","protein-coding","AGER","177"
"ENSG00000162688","protein-coding","AGL","178"
"ENSG00000159723","protein-coding","AGRP","181"
"ENSG00000101384","protein-coding","JAG1","182"
"ENSG00000135744","protein-coding","AGT","183"
"ENSG00000144891","protein-coding","AGTR1","185"
"ENSG00000180772","protein-coding","AGTR2","186"
"ENSG00000134817","protein-coding","APLNR","187"
"ENSG00000172482","protein-coding","AGXT","189"
"ENSG00000169297","protein-coding","NR0B1","190"
"ENSG00000101444","protein-coding","AHCY","191"
"ENSG00000106546","protein-coding","AHR","196"
"ENSG00000145192","protein-coding","AHSG","197"
"ENSG00000204472","protein-coding","AIF1","199"
"ENSG00000235588","protein-coding","AIF1","199"
"ENSG00000206428","protein-coding","AIF1","199"
"ENSG00000237727","protein-coding","AIF1","199"
"ENSG00000234836","protein-coding","AIF1","199"
"ENSG00000235985","protein-coding","AIF1","199"
"ENSG00000112297","protein-coding","CRYBG1","202"
"ENSG00000106992","protein-coding","AK1","203"
"ENSG00000004455","protein-coding","AK2","204"
"ENSG00000162433","protein-coding","AK4","205"
"ENSG00000142208","protein-coding","AKT1","207"
"ENSG00000105221","protein-coding","AKT2","208"
"ENSG00000148218","protein-coding","ALAD","210"
"ENSG00000023330","protein-coding","ALAS1","211"
"ENSG00000158578","protein-coding","ALAS2","212"
"ENSG00000163631","protein-coding","ALB","213"
"ENSG00000170017","protein-coding","ALCAM","214"
"ENSG00000101986","protein-coding","ABCD1","215"
"ENSG00000165092","protein-coding","ALDH1A1","216"
"ENSG00000111275","protein-coding","ALDH2","217"
"ENSG00000108602","protein-coding","ALDH3A1","218"
"ENSG00000137124","protein-coding","ALDH1B1","219"
"ENSG00000184254","protein-coding","ALDH1A3","220"
"ENSG00000006534","protein-coding","ALDH3B1","221"
"ENSG00000132746","protein-coding","ALDH3B2","222"
"ENSG00000143149","protein-coding","ALDH9A1","223"
"ENSG00000072210","protein-coding","ALDH3A2","224"
"ENSG00000173208","protein-coding","ABCD2","225"
"ENSG00000149925","protein-coding","ALDOA","226"
"ENSG00000136872","protein-coding","ALDOB","229"
"ENSG00000109107","protein-coding","ALDOC","230"
"ENSG00000085662","protein-coding","AKR1B1","231"
"ENSG00000171094","protein-coding","ALK","238"
"ENSG00000108839","protein-coding","ALOX12","239"
"ENSG00000012779","protein-coding","ALOX5","240"
"ENSG00000275565","protein-coding","ALOX5","240"
"ENSG00000132965","protein-coding","ALOX5AP","241"
"ENSG00000179477","protein-coding","ALOX12B","242"
"ENSG00000291084","pseudo","ALOX12P2","245"
"ENSG00000161905","protein-coding","ALOX15","246"
"ENSG00000179593","protein-coding","ALOX15B","247"
"ENSG00000163295","protein-coding","ALPI","248"
"ENSG00000162551","protein-coding","ALPL","249"
"ENSG00000163283","protein-coding","ALPP","250"
"ENSG00000163286","protein-coding","ALPG","251"
"ENSG00000156150","protein-coding","ALX3","257"
"ENSG00000178522","protein-coding","AMBN","258"
"ENSG00000106927","protein-coding","AMBP","259"
"ENSG00000123505","protein-coding","AMD1","262"
"ENSG00000125363","protein-coding","AMELX","265"
"ENSG00000099721","protein-coding","AMELY","266"
"ENSG00000159461","protein-coding","AMFR","267"
"ENSG00000104899","protein-coding","AMH","268"
"ENSG00000135409","protein-coding","AMHR2","269"
"ENSG00000116748","protein-coding","AMPD1","270"
"ENSG00000116337","protein-coding","AMPD2","271"
"ENSG00000133805","protein-coding","AMPD3","272"
"ENSG00000078053","protein-coding","AMPH","273"
"ENSG00000136717","protein-coding","BIN1","274"
"ENSG00000145020","protein-coding","AMT","275"
"ENSG00000237763","protein-coding","AMY1A","276"
"ENSG00000237763","protein-coding","LOC124905666","124905666"
